City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Abhā,18.2164,42.5053,53.78,26,0,2.71
212,Fougamou,-1.2154,10.5838,73.02,95,100,3.04
213,Yar-Sale,66.8333,70.8333,-37.88,81,40,5.55
214,Guerrero Negro,27.9769,-114.0611,59.23,70,4,14.65
215,Kailua,21.4022,-157.7394,72.37,73,40,14.97
216,Tuatapere,-46.1333,167.6833,63.36,55,0,6.82
217,Saint Anthony,45.0205,-93.218,24.39,58,90,11.5
218,Zapolyarnyy,69.4154,30.8136,15.8,92,90,1.14
219,Corpus Christi,27.8006,-97.3964,66.4,77,90,11.5
220,Cairns,-16.9167,145.7667,87.4,62,98,16.11
221,Rocha,-34.4833,-54.3333,66.13,68,80,4.36
222,Quilmaná,-12.95,-76.3833,72.63,65,96,2.64
223,Jega,12.2175,4.3792,67.05,24,0,12.33
224,Ambon City,-3.6954,128.1814,89.6,62,40,6.91
225,Port Hardy,50.6996,-127.4199,41.7,87,90,19.57
226,Aklavik,68.2191,-135.0107,-30.82,75,87,2.3
227,San Quintín,30.4833,-115.95,55.13,77,1,5.17
228,Lavrentiya,65.5833,-171.0,-18.76,81,0,9.44
229,Raudeberg,61.9875,5.1352,33.01,89,94,16.6
230,Longyearbyen,78.2186,15.6401,1.4,46,20,32.21
231,Alofi,-19.0595,-169.9187,77.0,94,100,4.61
232,Nome,64.5011,-165.4064,-5.8,65,1,21.85
233,Øksfjord,70.2396,22.3479,13.95,67,90,3.44
234,Salinópolis,-0.6136,-47.3561,80.13,81,88,12.95
235,Celestún,20.8667,-90.4,68.18,79,8,13.51
236,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,78.01,86,0,1.99
237,Sol'-Iletsk,51.1631,54.9918,27.79,98,98,5.88
238,Tura,25.5198,90.2201,71.98,30,0,4.09
239,Pangnirtung,66.1451,-65.7125,-9.4,77,1,5.75
240,Tessalit,20.1986,1.0114,58.89,29,0,11.48
241,Arlit,18.7369,7.3853,54.73,34,0,2.64
242,Pitimbu,-7.4706,-34.8086,77.0,94,40,6.91
243,Fairbanks,64.8378,-147.7164,-8.86,77,1,2.75
244,Empalme,27.9667,-110.8167,56.46,70,6,1.01
245,Portland,45.5234,-122.6762,40.77,81,90,5.75
246,Elko,41.0002,-115.5012,29.62,83,86,1.99
247,Esperance,-33.8667,121.9,80.6,32,0,12.66
248,Dwārka,22.2394,68.9678,71.11,33,27,13.02
249,Naliya,23.2667,68.8333,72.75,22,0,8.39
250,Erzin,36.9559,36.2,39.99,83,2,11.99
251,Tautira,-17.7333,-149.15,82.2,65,90,2.3
252,Kieta,-6.2167,155.6333,84.38,74,45,14.34
253,Fort Nelson,58.8053,-122.7002,-18.4,76,40,2.3
